,,Menit,5,8,7,35,5
Pertemuan,Tema,Output Individu,Pembukaan,Demo guru,Latihan bareng dengan contoh,Praktik individu,Simpan hasil dan refleksi
1,Kenalan workflow video AI,Siswa paham alur ide → naskah → visual → suara → edit,"Guru menampilkan contoh video AI pendek dan bertanya: “Menurut kalian, video ini dibuat dari langkah apa saja?”","Guru membedah 1 video: ide, naskah, visual, suara, musik, teks, dan editing.",Siswa bersama guru menyusun alur produksi dari contoh sederhana: “Video fakta unik tentang kucing.”,Siswa membuat peta alur video AI di buku/worksheet masing-masing.,Siswa menulis 1 hal baru yang dipahami dan membuat folder proyek pribadi.
2,Memilih ide video,"3 ide pribadi, lalu pilih 1","Guru memancing ide dengan tema aman: hewan, lingkungan, sekolah, sains ringan, kebiasaan baik.",Guru menunjukkan cara mengubah topik umum menjadi ide video pendek. Contoh: “sampah” → “kenapa kita harus memilah sampah”.,"Bersama-sama membuat 3 ide dari 1 tema contoh, lalu memilih ide paling mudah dibuat.","Siswa menulis 3 ide video pribadi, lalu memilih 1 ide utama.",Siswa menyimpan ide terpilih dan menulis alasan memilih ide tersebut.
3,Membuat konsep,"Judul, pesan utama, tokoh, latar, durasi",Guru mengingatkan bahwa video pendek harus punya satu pesan utama yang jelas.,"Guru mencontohkan konsep video: judul, tujuan, tokoh, latar, suasana, dan durasi.",Bersama-sama mengisi template konsep untuk contoh “Petualangan Botol Plastik”.,"Siswa mengisi konsep videonya sendiri: judul, pesan utama, tokoh, latar, durasi 20-45 detik.",Siswa mengecek apakah konsepnya sederhana dan mungkin dibuat dalam 3-5 scene.
4,Menulis naskah pendek,Script 5-7 kalimat,Guru menjelaskan bahwa naskah adalah kalimat yang akan dibacakan/dijadikan voice-over.,"Guru demo membuat naskah dari konsep. Contoh struktur: pembuka, isi 3-4 kalimat, penutup.",Bersama-sama menulis naskah 5 kalimat dari konsep contoh.,Siswa menulis naskah 5-7 kalimat untuk video masing-masing.,Siswa membaca naskah pelan-pelan dan menandai bagian yang terlalu panjang/sulit.
5,Membuat storyboard,3-5 scene,Guru menjelaskan bahwa storyboard adalah rencana adegan sebelum membuat visual.,Guru menunjukkan contoh membagi naskah menjadi 4 scene.,"Bersama-sama memecah naskah contoh menjadi scene 1 pembuka, scene 2 masalah, scene 3 solusi, scene 4 penutup.","Siswa membagi naskahnya menjadi 3-5 scene, tiap scene berisi gambar apa dan narasi apa.",Siswa menyimpan storyboard dan memberi tanda scene yang paling penting.
6,Prompt visual scene 1-2,Prompt untuk 2 scene awal,Guru menjelaskan rumus prompt visual: subjek + tempat + aksi + suasana + gaya.,Guru demo membuat prompt buruk dan prompt bagus untuk scene pembuka.,Bersama-sama memperbaiki prompt contoh agar lebih jelas dan sesuai anak SD.,Siswa membuat prompt visual untuk scene 1 dan 2 dari storyboard masing-masing.,"Siswa mengecek prompt: apakah sudah ada tokoh, tempat, aksi, suasana, dan gaya."
7,Prompt visual scene 3-5,Prompt lengkap semua scene,Guru mereview prompt scene 1-2 dan menekankan konsistensi tokoh/gaya.,Guru demo membuat prompt lanjutan agar karakter tetap mirip di beberapa scene.,Bersama-sama membuat prompt scene 3-4 dari contoh video yang sama.,"Siswa menyelesaikan prompt untuk semua scene, minimal 3 scene dan maksimal 5 scene.",Siswa menandai prompt yang masih kurang jelas untuk diperbaiki.
8,Generate visual,Gambar/visual utama tiap scene,"Guru mengingatkan aturan aman: tidak memakai wajah teman, data pribadi, atau tokoh nyata tanpa izin.","Guru demo generate gambar dari 1 prompt, lalu memilih hasil terbaik.",Bersama-sama membandingkan 2-3 hasil visual: mana yang paling cocok dengan storyboard.,Siswa generate visual untuk tiap scene dan memilih 1 visual terbaik per scene.,"Siswa menyimpan visual dengan nama rapi: scene-1, scene-2, scene-3, dst."
9,Revisi visual,Visual final yang lebih konsisten,Guru menunjukkan contoh visual yang tidak konsisten dan bertanya apa yang perlu diperbaiki.,"Guru demo revisi prompt: menambah detail karakter, warna, latar, atau gaya.",Bersama-sama memperbaiki 1 prompt yang hasilnya kurang sesuai.,"Siswa merevisi visual yang belum cocok, lalu memilih versi final tiap scene.",Siswa membuat daftar visual final dan menulis 1 alasan memilih visual tersebut.
