,,Minutes,5,8,7,35,5
Meeting,Theme,Individual Output,Opening,Teacher Demo,Guided Practice with Example,Individual Practice,Save Results and Reflection
1,Introduction to the AI Video Workflow,Students understand the flow: idea → script → visuals → voice → editing,"The teacher shows a short AI video and asks: “What steps do you think were used to make this video?”","The teacher breaks down one video into its idea, script, visuals, voice, music, text, and editing.",Students and the teacher build a production flow from a simple example: “A video about fun facts about cats.”,Students create their own AI video workflow map in a notebook or worksheet.,Students write down one new thing they learned and create a personal project folder.
2,Choosing a Video Idea,"3 personal ideas, then select 1","The teacher sparks ideas using safe themes: animals, the environment, school, light science, and positive habits.",The teacher shows how to turn a broad topic into a short video idea. Example: “waste” → “why we should sort our waste”.,"The class creates three ideas from one sample theme, then selects the easiest idea to produce.","Students write three personal video ideas, then select one main idea.",Students save their chosen idea and write why they selected it.
3,Developing a Concept,"Title, main message, character, setting, duration",The teacher reminds students that a short video should communicate one clear main message.,"The teacher demonstrates a video concept that includes a title, purpose, character, setting, mood, and duration.",The class completes a concept template for the sample story “The Adventure of a Plastic Bottle”.,"Students develop their own concept: title, main message, character, setting, and a duration of 20–45 seconds.",Students check whether their concept is simple enough to produce in 3–5 scenes.
4,Writing a Short Script,5–7 sentence script,The teacher explains that the script contains the lines that will be read aloud or used as the voice-over.,"The teacher turns a concept into a script using this structure: opening, 3–4 content sentences, and closing.",The class writes a five-sentence script from the sample concept.,Students write a five-to-seven-sentence script for their own video.,Students read their script slowly and mark any part that feels too long or difficult.
5,Creating a Storyboard,3–5 scenes,The teacher explains that a storyboard is a plan for the scenes before the visuals are created.,The teacher demonstrates how to divide a script into four scenes.,"The class breaks the sample script into an opening, problem, solution, and closing scene.","Students divide their script into 3–5 scenes, describing the image and narration for each scene.",Students save the storyboard and mark the most important scene.
6,Visual Prompts for Scenes 1–2,Prompts for the first 2 scenes,The teacher introduces the visual prompt formula: subject + place + action + mood + style.,The teacher compares a weak prompt with a strong prompt for the opening scene.,The class improves a sample prompt so that it is clearer and age-appropriate for elementary students.,Students write visual prompts for scenes one and two of their own storyboard.,"Students check whether each prompt includes a character, place, action, mood, and style."
7,Visual Prompts for Scenes 3–5,Complete prompts for every scene,The teacher reviews the prompts for scenes one and two and emphasizes consistent characters and style.,The teacher shows how to write follow-up prompts that keep a character looking similar across several scenes.,The class creates prompts for scenes three and four of the same sample video.,"Students complete prompts for every scene, with a minimum of three and a maximum of five scenes.",Students mark any prompts that are still unclear and need revision.
8,Generating Visuals,Main visual for every scene,"The teacher reviews safety rules: do not use a classmate’s face, personal data, or a real public figure without permission.",The teacher generates an image from one prompt and demonstrates how to select the best result.,The class compares two or three visual results and decides which one best matches the storyboard.,Students generate visuals for every scene and select one best visual per scene.,"Students save the visuals with clear filenames: scene-1, scene-2, scene-3, and so on."
9,Revising Visuals,More consistent final visuals,The teacher shows examples of inconsistent visuals and asks what should be improved.,"The teacher demonstrates prompt revision by adding details about the character, color, background, or style.",The class improves one prompt whose result does not yet match the concept.,"Students revise any visual that does not fit, then select the final version for each scene.",Students make a list of final visuals and write one reason for choosing each visual.
10,Voice-over,Completed voice narration,The teacher explains two voice-over options: recording the student’s own voice or using supervised AI voice or text-to-speech.,The teacher reads the script with clear intonation and compares speech that is too fast with an appropriate pace.,"The class practices reading two sentences clearly, without rushing, and with pauses.",Students record a voice-over or create one from their own script.,"Students save the audio file and check that it is clear, not too fast, and not too quiet."
11,Basic Editing,Scenes imported into the video editor,The teacher explains that basic editing means arranging scenes in the order planned in the storyboard.,"The teacher opens Canva or CapCut, imports the visuals, arranges the scenes, and adds the voice-over.",The class arranges two sample scenes in the editor.,"Students import every visual, put the scenes in order, and add the voice-over.",Students save the first video draft and confirm that every scene is included.
12,Movement and Transitions,The video begins to feel alive,The teacher explains that movement and transitions should stay simple so the video does not feel excessive.,The teacher demonstrates a gentle zoom or pan and a simple transition between scenes.,The class selects a transition that fits the sample video.,Students add gentle movement to the visuals and transitions between scenes.,Students replay the draft and note any section that still feels too fast or too slow.
13,"Music, Effects, and Text",The video is nearly final,"The teacher explains the purpose of music, sound effects, titles, and short captions.","The teacher adds quiet music, adjusts the volume, and adds a title and key text.",The class checks whether the narration is still clearer than the background music.,"Students add music, appropriate sound effects, a title, and short text to their own videos.","Students save the near-final draft and check its audio, text, and duration."
14,Quality and Ethics Review,"Revisions to content, audio, text, and safety","The teacher shares a checklist: safe, clear, no misinformation, no mocking, and no personal data.",The teacher assesses one sample video using the quality and ethics checklist.,The class gives feedback on the sample video and identifies what needs to be improved.,Students review their own video with the checklist and revise any weak areas.,Students save the revised video and write down two improvements they made.
15,Export and Presentation Practice,Final video,The teacher explains how to export the video and deliver a short presentation.,"The teacher demonstrates video export and a 30-second presentation covering the title, idea, process, and most difficult part.",The class creates a simple four-sentence presentation format.,Students export the final video and practice a short presentation independently or with a partner.,Students save the final file and write the opening sentence of their presentation.
16,Individual Showcase,Every student presents their work,"The teacher explains showcase rules: watch respectfully, show appreciation, and keep comments constructive.","The teacher models short feedback: “I like…, and my suggestion is…”.",The class practices giving feedback on one sample video.,"Every student presents a video, or a selection of students presents if time is limited; classmates give brief feedback.","Students write a final reflection: what they learned, their favorite part, and what they want to try next."
